game_ID,team_ID,t2_ban1,t2_ban2,t2_ban3,t2_ban4,t2_ban5
3326086514,2,114,67,43,16,51
3229566029,2,11,67,238,51,420
3327363504,2,157,238,121,57,28
3326856598,2,164,18,141,40,51
3330080762,2,86,11,201,122,18
3287435705,2,119,134,154,63,31
3314215542,2,75,42,31,40,429
3329224025,2,157,38,122,40,238
3318040883,2,28,51,53,157,40
3327786881,2,64,141,84,67,53
3325996400,2,19,74,122,59,412
3284613292,2,103,154,412,6,64
3321570535,2,143,64,254,53,122
3323144943,2,154,498,117,141,19
3329332855,2,31,67,202,53,119
3322311228,2,53,117,141,122,157
3316242660,2,18,134,53,420,29
3330057565,2,141,1,11,29,122
3318940474,2,31,141,119,122,238
3320637674,2,117,54,113,157,40
3295071448,2,31,20,157,57,6
3321629795,2,11,122,141,114,67
3289287394,2,154,61,119,113,57
3315917080,2,31,96,29,157,516
3319260786,2,24,11,91,51,53
3287686351,2,11,17,74,157,105
3327949154,2,119,113,117,150,238
3329435919,2,113,55,40,18,114
3328637035,2,72,91,16,75,31
3261234207,2,64,121,238,117,7
3327393480,2,429,53,18,57,40
3291817645,2,92,40,64,79,105
3323377026,2,38,57,29,119,31
3317736423,2,516,157,11,75,31
3330224197,2,141,53,31,17,11
3308980402,2,19,40,59,29,18
3246968903,2,154,157,119,117,29
3322361630,2,51,238,516,154,59
3293632530,2,157,53,105,238,420
3308987932,2,75,7,29,238,61
3324519930,2,117,157,119,40,55
3326242650,2,23,516,238,117,114
3329416851,2,40,429,113,117,29
3324363232,2,18,157,105,19,122
3322709332,2,55,114,31,57,81
3255360088,2,157,53,113,23,238
3327752527,2,8,497,38,16,150
3311009322,2,119,40,75,105,33
3321629027,2,516,75,119,238,157
3299362032,2,86,31,105,498,141
3325726219,2,122,53,96,114,238
3321237376,2,31,59,29,60,3
3321305647,2,53,60,29,31,113
3329852632,2,43,86,67,122,102
3329066143,2,114,51,64,122,131
3330150647,2,53,6,18,498,11
3330336673,2,38,119,105,157,238
3265461788,2,7,157,141,119,114
3323194067,2,201,122,57,18,25
3327643001,2,267,53,157,63,238
3325673769,2,53,31,497,61,38
3256026885,2,90,19,150,63,238
3311427599,2,29,154,119,57,31
3282627547,2,119,63,105,141,21
3258796399,2,157,7,114,154,8
3328984872,2,157,6,238,105,53
3325843025,2,91,53,29,113,75
3325613900,2,122,31,23,40,238
3323302726,2,157,38,203,40,19
3280198998,2,37,38,41,53,154
3325567495,2,114,122,238,412,51
3310827613,2,134,75,154,119,238
3287517913,2,113,61,96,55,154
3329315051,2,157,67,105,122,89
3263401061,2,18,11,55,157,154
3327484989,2,114,28,53,61,96
3330473044,2,1,119,23,67,53
3306566368,2,40,57,141,429,119
3234883677,2,238,157,34,67,39
3272819198,2,58,157,53,119,141
3326112788,2,238,64,134,157,11
3329437618,2,24,31,29,75,105
3330152268,2,11,238,86,157,31
3277742106,2,17,154,1,53,42
3319437727,2,117,40,103,35,154
3281365058,2,119,57,114,141,7
3322626012,2,31,81,266,64,157
3325976587,2,11,24,75,245,202
3324255930,2,238,131,80,53,24
3325663188,2,119,-1,40,18,33
3327487116,2,119,19,117,90,134
3331653671,2,154,105,31,238,117
3320571127,2,5,55,33,236,29
3326233952,2,40,18,19,117,5
3320571491,2,29,78,91,516,40
3310530097,2,99,122,238,29,53
3330689896,2,113,238,18,40,19
3304939953,2,141,119,238,53,80
3296306866,2,40,63,6,31,157
3323496212,2,67,74,238,516,157
3304030176,2,141,157,57,8,29
3324925505,2,53,55,119,105,122
3225725905,2,114,11,96,69,154
3324239752,2,25,31,122,516,29
3326047211,2,40,105,119,107,238
3322398507,2,516,31,497,83,119
3323959835,2,498,122,141,53,157
3313277570,2,5,53,89,157,31
3238320164,2,21,119,157,67,122
3329961731,2,141,157,40,516,238
3326343190,2,113,40,117,16,-1
3308713607,2,31,119,18,141,38
3288402128,2,222,-1,31,55,119
3315759621,2,55,238,29,74,122
3317001937,2,18,67,31,141,497
3314035078,2,40,11,45,119,55
3315934285,2,114,412,141,516,51
3327839556,2,28,412,157,40,19
3301879852,2,40,-1,55,31,16
3246799766,2,103,122,105,117,29
3233469276,2,92,157,238,117,427
3264123009,2,53,238,134,82,32
3221218999,2,157,113,420,11,19
3329172827,2,154,238,29,18,122
3331509281,2,1,238,31,17,7
3327364299,2,31,141,98,119,238
3329302998,2,157,51,122,11,238
3308358422,2,157,122,113,141,64
3322734650,2,67,119,31,17,99
3321518451,2,238,18,40,119,114
3327218687,2,122,40,134,119,157
3327581606,2,105,11,24,29,157
3331184032,2,67,40,33,516,238
3219978764,2,11,157,122,105,498
3267213499,2,51,80,23,157,104
3322707545,2,157,427,31,238,99
3302106475,2,114,238,24,119,29
3235294598,2,38,119,154,114,3
3329680020,2,18,67,122,11,105
3330475059,2,31,91,29,412,238
3323865742,2,19,51,17,157,154
3313178613,2,238,141,11,497,8
3321021689,2,141,64,92,114,53
3329116990,2,141,157,238,420,412
3319301422,2,4,157,131,36,18
3273969038,2,61,29,58,24,92
3327930981,2,57,92,75,31,96
3320765224,2,119,114,18,40,113
3321085501,2,53,157,67,222,103
3284885837,2,31,157,11,119,150
3319410490,2,154,75,238,53,516
3222173823,2,51,53,238,157,122
3329059618,2,516,150,412,157,114
3322300709,2,31,57,17,516,3
3315005993,2,18,63,53,238,11
3328235024,2,64,238,498,141,67
3325899099,2,157,53,61,7,105
3322411139,2,114,122,51,238,67
3317568621,2,154,122,119,157,268
3278485058,2,114,31,62,5,238
3323450176,2,38,96,429,40,29
3329355820,2,18,55,57,92,238
3329523242,2,75,11,157,141,40
3300523019,2,245,75,11,113,122
3260960194,2,154,29,114,19,51
3330029652,2,238,245,122,51,40
3283544172,2,154,31,29,141,412
3313865303,2,33,119,240,117,134
3326688250,2,86,40,7,67,238
3228575167,2,134,64,154,157,3
3328059536,2,24,1,119,23,12
3320779522,2,240,119,141,117,105
3292256236,2,117,7,154,38,51
3285648979,2,119,122,154,31,89
3319744291,2,40,57,412,31,117
3233271653,2,122,114,11,157,105
3328257946,2,11,238,67,119,420
3318631365,2,105,23,157,516,31
3330134561,2,105,64,238,53,21
3329879618,2,79,113,236,18,40
3315337879,2,105,53,24,119,29
3324357625,2,157,222,96,11,53
3319890638,2,157,64,497,238,31
3319065982,2,111,238,412,157,92
3327210456,2,122,53,412,157,84
3220489176,2,154,117,8,157,115
3329988115,2,11,40,122,157,38
3218051336,2,67,122,51,103,19
3273955910,2,238,154,420,141,64
3306378109,2,150,7,119,40,6
3325854973,2,75,157,105,412,103
3321667006,2,23,58,62,131,16
3290591993,2,7,75,157,53,141
3317891706,2,154,141,122,238,498
3317698956,2,157,141,92,67,119
3306848074,2,11,141,31,75,143
3325741387,2,117,57,19,38,40
3325298155,2,99,31,154,67,157
3329216618,2,84,154,67,29,141
3325562798,2,498,238,157,85,29
3276082388,2,113,122,202,119,238
3283697742,2,238,51,31,75,119
3228196248,2,11,114,29,157,51
3328076986,2,7,157,516,141,103
3323442409,2,90,28,113,29,57
3319441119,2,18,23,29,202,32
3263331345,2,-1,412,157,-1,29
3326346692,2,51,498,105,31,19
3230623742,2,238,122,164,498,117
3324155100,2,122,67,11,99,81
3318820361,2,31,117,64,516,40
3275942117,2,67,80,31,105,51
3250588648,2,154,119,114,29,84
3319715822,2,62,5,498,17,19
3330134587,2,24,157,122,50,53
3243187691,2,154,112,238,51,105
3319504763,2,67,17,141,84,11
3313871700,2,92,7,89,80,119
3328007564,2,117,16,57,8,114
3288405925,2,51,64,119,53,154
3331121626,2,31,29,40,92,150
3264021701,2,64,154,51,157,38
3272272302,2,41,119,18,202,238
