game_ID,team_ID,t2_towerKills,t2_inhibitorKills,t2_baronKills,t2_dragonKills,t2_riftHeraldKills
3326086514,2,5,0,0,1,1
3229566029,2,2,0,0,0,0
3327363504,2,2,0,0,1,0
3326856598,2,0,0,0,0,0
3330080762,2,3,0,0,1,0
3287435705,2,6,0,0,3,0
3314215542,2,2,0,0,0,0
3329224025,2,0,0,0,2,0
3318040883,2,8,1,0,2,1
3327786881,2,8,3,1,2,0
3325996400,2,10,2,1,1,1
3284613292,2,2,0,0,2,0
3321570535,2,3,0,0,1,0
3323144943,2,3,0,0,2,0
3329332855,2,9,2,0,2,0
3322311228,2,0,0,0,0,0
3316242660,2,9,3,2,4,0
3330057565,2,2,0,0,0,0
3318940474,2,11,3,0,2,0
3320637674,2,11,2,1,1,0
3295071448,2,11,3,1,2,1
3321629795,2,9,1,1,2,0
3289287394,2,10,2,0,2,0
3315917080,2,2,0,0,0,0
3319260786,2,11,3,0,0,0
3287686351,2,10,2,0,3,0
3327949154,2,10,2,1,3,1
3329435919,2,5,0,0,2,0
3328637035,2,7,2,1,3,1
3261234207,2,2,0,0,1,0
3327393480,2,9,1,1,0,0
3291817645,2,0,0,1,0,0
3323377026,2,1,0,1,1,0
3317736423,2,7,1,1,3,0
3330224197,2,11,3,1,1,0
3308980402,2,11,3,0,1,0
3246968903,2,10,2,0,2,0
3322361630,2,0,0,0,1,0
3293632530,2,3,0,0,0,0
3308987932,2,0,0,0,0,0
3324519930,2,10,1,2,1,1
3326242650,2,11,3,0,1,1
3329416851,2,4,0,0,1,0
3324363232,2,6,1,0,1,0
3322709332,2,8,1,1,1,0
3255360088,2,2,0,0,1,0
3327752527,2,2,0,1,1,1
3311009322,2,8,2,0,2,0
3321629027,2,9,2,1,3,1
3299362032,2,9,1,1,1,1
3325726219,2,11,4,1,1,0
3321237376,2,1,0,0,0,0
3321305647,2,7,1,1,2,1
3329852632,2,0,0,0,0,0
3329066143,2,7,1,0,2,1
3330150647,2,1,0,0,1,0
3330336673,2,9,1,1,2,1
3265461788,2,0,0,0,1,0
3323194067,2,9,2,0,2,0
3327643001,2,2,0,0,0,0
3325673769,2,1,0,0,0,0
3256026885,2,0,0,0,0,0
3311427599,2,10,3,1,3,1
3282627547,2,8,1,0,2,0
3258796399,2,0,0,0,0,0
3328984872,2,0,0,0,0,0
3325843025,2,2,0,0,1,0
3325613900,2,4,0,0,3,1
3323302726,2,7,1,1,2,0
3280198998,2,1,0,0,0,0
3325567495,2,11,3,1,2,1
3310827613,2,10,2,1,4,1
3287517913,2,1,0,0,1,0
3329315051,2,1,0,0,0,0
3263401061,2,10,2,1,3,0
3327484989,2,2,0,0,1,0
3330473044,2,8,1,0,2,0
3306566368,2,1,0,0,0,0
3234883677,2,10,1,0,1,0
3272819198,2,1,0,0,1,0
3326112788,2,4,0,0,0,1
3329437618,2,1,0,0,0,1
3330152268,2,0,0,0,0,0
3277742106,2,8,2,1,3,1
3319437727,2,1,0,0,1,0
3281365058,2,5,1,0,1,0
3322626012,2,2,0,0,2,0
3325976587,2,0,0,0,0,0
3324255930,2,9,1,1,2,0
3325663188,2,1,0,0,0,0
3327487116,2,11,3,1,3,1
3331653671,2,1,0,0,0,0
3320571127,2,3,0,0,2,0
3326233952,2,9,1,1,1,0
3320571491,2,11,3,1,1,0
3310530097,2,3,0,0,0,1
3330689896,2,0,0,0,2,0
3304939953,2,0,0,0,0,0
3296306866,2,9,3,0,2,1
3323496212,2,11,4,1,3,0
3304030176,2,5,0,1,1,0
3324925505,2,6,1,0,0,0
3225725905,2,0,0,0,2,0
3324239752,2,8,1,1,1,0
3326047211,2,5,0,0,0,1
3322398507,2,10,3,2,4,0
3323959835,2,5,0,0,1,0
3313277570,2,8,2,0,2,0
3238320164,2,7,1,1,2,0
3329961731,2,2,0,0,1,0
3326343190,2,0,0,0,0,0
3308713607,2,3,0,0,0,0
3288402128,2,0,0,0,0,0
3315759621,2,1,0,0,0,0
3317001937,2,8,1,1,2,0
3314035078,2,2,0,0,0,0
3315934285,2,8,0,0,2,0
3327839556,2,1,0,0,0,0
3301879852,2,6,2,0,4,0
3246799766,2,0,0,0,0,0
3233469276,2,0,0,0,0,0
3264123009,2,9,2,1,2,0
3221218999,2,8,2,0,2,1
3329172827,2,4,0,0,1,0
3331509281,2,3,0,0,1,0
3327364299,2,8,1,2,2,0
3329302998,2,9,1,1,3,0
3308358422,2,0,0,0,1,0
3322734650,2,0,0,0,0,0
3321518451,2,5,0,0,1,0
3327218687,2,11,3,2,3,0
3327581606,2,6,0,0,3,0
3331184032,2,0,0,0,1,0
